,No.,Material,Part Name,Storage Bin,Tact,Box 1,Box 2,Box 3,Box 4,Box 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,,Verify By,Remark
,60,4M0611775B,BRAKE HOSE,RA-47,REAR AXLE,30,,,,,,,,,,Counted,,,
,61,4M0611845P,"BRACKET,BRAKE HOSE",CM-8,CM,31,,,,,,,,,,Counted,,,
,62,4M0611845Q,"BRACKET,BRAKE HOSE",CM-16,CM,42,,,,,,,,,,Counted,,,
,63,4M0611846P,"BRACKET,BRAKE HOSE",CM-13,CM,28,,,,,,,,,,Counted,,,
,64,4M0611846Q,"BRACKET,BRAKE HOSE",CM-20,CM,30,,,,,,,,,,Counted,,,
,65,4M0615311E,COVER,CM-2,CM,29,,,,,,,,,,Counted,,,
,66,4M0615312E,COVER,CM-11,CM,53,,,,,,,,,,Counted,,,
,67,4M0615611C,COVER,RA-43,REAR AXLE,36,,,,,,,,,,Counted,,,
,68,4M0615612C,COVER,RA-50,REAR AXLE,21,,,,,,,,,,Counted,,,
,69,4M0616711A,LINE,RA-65,REAR AXLE,41,,,,,,,,,,Counted,,,
,70,4M0616712A,LINE,RA-64,REAR AXLE,41,,,,,,,,,,Counted,,,
,71,4M0815215A,AIR DEFLECTOR,CC-3,CONSOLE,20,,,,,,,,,,Counted,,,
,72,4M0907249C,"HOLDER,ELECTR. CONTR.UNIT",RA-61,REAR AXLE,48,,,,,,,,,,Counted,,,
,73,4M0907273B,TIRE PRESSURE MONITOR CTRL.UNIT,RA-62,REAR AXLE,120,,,,,,,,,,Counted,,,
,74,4M0919309B,OUTLET,CC-38,CONSOLE,79,,,,,,,,,,Counted,,,
,75,4M0927807C,SPEED SENSOR,RA-41,REAR AXLE,128,,,,,,,,,,Counted,,,
,76,4M0941285D,LINKAGE,FA-34,FRONT AXLE,36,,,,,,,,,,Counted,,,
,77,4M0941286D,LINKAGE,FA-36,FRONT AXLE,12,,,,,,,,,,Counted,,,
,78,4M0941309L,SENSOR,RA-9,REAR AXLE,12,,,,,,,,,,Counted,,,
