,No.,Material,Part Name,Storage Bin,Tact,Box 1,Box 2,Box 3,Box 4,Box 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,,Verify By,Remark
,252,WHT002535,BLIND RIVET NUT,FE-85,FRONTEND,0,,,,,,,,,,Counted,,tidak guna part ini,
,253,06M100021JT,ENGINE,ED-1,ED,6,,,,,,,,,,Counted,,,
,254,06M911022D,STARTER,ED-11,ED,6,,,,,,,,,,Counted,,,
,255,0D5300041F,TRANSMISSION,ED-2,ED,4,,,,,,,,,,Counted,,,
,256,8W0816803A,AIR CONDITIONING COMPRESSOR,ED-24,ED,51,,,,,,,,,,Counted,,,
,257,06M903143AK,BRACKET,ED-28,ED,3,,,,,,,,,,Counted,,,
,258,4M0903028,ALTERNATOR,ED-31,ED,18,,,,,,,,,,Counted,,,
,259,4M0122055CR,COOLANT HOSE,ED-78,ED,7,,,,,,,,,,Counted,,,
,260,4M0407271AD,HALF SHAFT,PA-30,POWERTRAIN,16,,,,,,,,,,Counted,,,
,261,4M0253300Q,OUTLET PIPE,PA-45,POWERTRAIN,3,,,,,,,,,,Counted,,,
,262,4M4399263AB,CROSSMEMBER,PA-5,POWERTRAIN,24,1,,,,,,,,,Counted,,,
,263,4M0254200T,CONVERTER,PA-54,POWERTRAIN,8,,,,,,,,,,Counted,,,
,264,4M0253181CD,FRONT MUFFLER/REAR MUFFLER,PA-59,POWERTRAIN,0,,,,,,,,,,Counted,,,
,265,4M0801387M,REINFORCEMENT,PA-7,POWERTRAIN,19,1,,,,,,,,,Counted,,,
,266,4M0201021EH,FUEL TANK,PA-66,POWERTRAIN,0,,,,,,,,,,Counted,,,
,267,893253353,COMPRESSION SPRING,PA-52,POWERTRAIN,36,,,,,,,,,,Counted,,,
,268,03G145291,CAP,ED-44,ED,66,,,,,,,,,,Counted,,,
,269,03L260817,CENTERING SLEEVE,ED-22,ED,594,,,,,,,,,,Counted,,,Data golf eD
,270,059903310B,DUST CAP,ED-48,ED,66,,,,,,,,,,Counted,,,
,271,059903343A,COVER,ED-52,ED,64,,,,,,,,,,Counted,,,
,272,06E103565B,COVER,ED-10,ED,44,,,,,,,,,,Counted,,,
,273,06M109185B,BRACKET,ED-95,ED,30,,,,,,,,,,Counted,,,
,274,06M129740D,BOOT,ED-80,ED,22,,,,,,,,,,Counted,,,
,275,06M260849L,V-RIBBED BELT,ED-50,ED,17,,,,,,,,,,Counted,,,
,276,06M260885M,"BRACKET,COMPRESSOR AIR CONDITION",ED-21,ED,11,,,,,,,,,,Counted,,,
,277,06M260938J,IDLER PULLEY,ED-47,ED,54,,,,,,,,,,Counted,,,
,278,06M903133AA,BELT TENSIONER,ED-45,ED,6,,,,,,,,,,Counted,,,
,279,06M903137AN,V-RIBBED BELT,ED-51,ED,3,,,,,,,,,,Counted,,,
,280,06M903315K,TENSIONING ELEMENT,ED-49,ED,24,,,,,,,,,,Counted,,,
,281,06M903341F,IDLER PULLEY,ED-43,ED,41,,,,,,,,,,Counted,,,
,282,06M903417F,"BRACKET,IDLER PULLEY",ED-41,ED,9,,,,,,,,,,Counted,,,
,283,06M906094,PLUG,ED-94,ED,46,,,,,,,,,,Counted,,,
,284,0D5301307,TUNED MASS DAMPER,ED-53,ED,9,,,,,,,,,,Counted,,,
,285,3D0971838L,CABLE TIE BASE,PA-22,POWERTRAIN,4,,,,,,,,,,Counted,,,
,286,443857991D 01C,INTERMEDIATE LAYER,PA-70,POWERTRAIN,296,,,,,,,,,,Counted,,,
,287,4A0253149B,BUMP STOP,PA-48,POWERTRAIN,58,,,,,,,,,,Counted,,,
,288,4B0253205C,SPACER TUBE,PA-51,POWERTRAIN,41,,,,,,,,,,Counted,,,
,289,4B0253205D,SPACER TUBE,PA-49,POWERTRAIN,44,,,,,,,,,,Counted,,,
,290,4H0121671D,VALVE,ED-57,ED,15,,,,,,,,,,Counted,,,
,291,4H0821213,MOUNTING CLIP,PA-57,POWERTRAIN,143,,,,,,,,,,Counted,,,
,292,4K0906121D,"CONTROL UNIT, FUEL PUMP",PA-67,POWERTRAIN,5,,,,,,,,,,Counted,,,
,293,4M0115301Q,OIL FILLER PIPE,ED-93,ED,23,,,,,,,,,,Counted,,,
,294,4M0121123E,COOLANT HOSE,PA-90,POWERTRAIN,90,3,,,,,,,,,Counted,,,
,295,4M0121123G,COOLANT HOSE,PA-97,POWERTRAIN,34,2,,,,,,,,,Counted,,,
,296,4M0121313BP,BRACKET,ED-59,ED,36,,,,,,,,,,Counted,,,
,297,4M0122050A,COOLANT HOSE,PA-95,POWERTRAIN,17,1,,,,,,,,,Counted,,,
,298,4M0122101DR,COOLANT HOSE,ED-76,ED,24,,,,,,,,,,Counted,,,
,299,4M0122447D,COOLANT HOSE,ED-71,ED,46,,,,,,,,,,Counted,,,
,300,4M0122449AC,COOLANT HOSE,ED-75,ED,55,,,,,,,,,,Counted,,,
,301,4M0145738BA,PRESSURE HOSE,ED-83,ED,17,,,,,,,,,,Counted,,,
,302,4M0145762J,CHARGE AIR PIPE,ED-81,ED,16,,,,,,,,,,Counted,,,
,303,4M0201391C,STRAP,PA-63,POWERTRAIN,3,,,,,,,,,,Counted,,,
,304,4M0201994AF,BREATHER PIPE,ED-18,ED,42,,,,,,,,,,Counted,,,
,305,4M0253099,BRACKET,PA-46,POWERTRAIN,23,,,,,,,,,,Counted,,,
,306,4M0317021G,OIL COOLER,ED-16,ED,6,3,,,,,,,,,Counted,,,
,307,4M0399115P,"SUPPORT,TRANSM.",ED-87,ED,0,,,,,,,,,,Counted,,,
,308,4M0399153AG,TRANSMISSION MOUNT,ED-88,ED,0,,,,,,,,,,Counted,,,
,309,4M0399291,STOP,ED-91,ED,55,,,,,,,,,,Counted,,,
,310,4M0407719E,SHIELD,PA-19,POWERTRAIN,46,,,,,,,,,,Counted,,,
,311,4M0407720E,SHIELD,PA-21,POWERTRAIN,46,,,,,,,,,,Counted,,,
,312,4M0411317L,COUPLING ROD,PA-14,POWERTRAIN,16,,,,,,,,,,Counted,,,
,313,4M0521443F,SHIELD,PA-62,POWERTRAIN,37,,,,,,,,,,Counted,,,
,314,4M0611931BL,VACUUM LINE,ED-84,ED,14,,,,,,,,,,Counted,,,
,315,4M0713045E,CONTROL CABLE,PA-78,POWERTRAIN,84,,,,,,,,,,Counted,,,
,316,4M0802037B,SIDE MEMBER,PA-26,POWERTRAIN,18,7,,,,,,,,,Counted,,,
,317,4M0802038D,SIDE MEMBER,PA-28,POWERTRAIN,36,4,,,,,,,,,Counted,,,
,318,4M0816181A,VALVE,PA-82,POWERTRAIN,36,1,,,,,,,,,Counted,,,
,319,4M0816721G,REFRIGERANT LINE,ED-25,ED,11,,,,,,,,,,Counted,,,
,320,4M0816725D,"REFRIGERANT LINE, CENTER",PA-84,POWERTRAIN,72,1,,,,,,,,,Counted,,,
,321,4M0816727D,"REFRIGERANT LINE, RR",PA-83,POWERTRAIN,72,1,,,,,,,,,Counted,,,
,322,4M0816743G,REFRIGERANT LINE,ED-26,ED,6,,,,,,,,,,Counted,,,
,323,4M0819342AF,HEATING HOSE,ED-79,ED,59,,,,,,,,,,Counted,,,
,324,4M0907731,"HOLDER,ELECTR. CONTR.UNIT",PA-68,POWERTRAIN,7,,,,,,,,,,Counted,,,
,325,4M0927803C,SPEED SENSOR,PA-72,POWERTRAIN,107,2,,,,,,,,,Counted,,,
,326,4M0971228CH,"HARNESS,BATTERY",ED-35,ED,6,,,,,,,,,,Counted,,,
,327,4M0971238B,GROUND CABLE,ED-37,ED,11,,,,,,,,,,Counted,,,
,328,4M0971348F,SPEED RECOGNITION SWITCH,ED-13,ED,29,,,,,,,,,,Counted,,,
,329,4M0971349M,"HARNESS,ALTERNATOR",ED-36,ED,14,,,,,,,,,,Counted,,,
,330,4M0971502Q,BRACKET,PA-80,POWERTRAIN,47,1,,,,,,,,,Counted,,,
,331,4M0971727S,"HARNESS, FUEL TANK",PA-69,POWERTRAIN,42,,,,,,,,,,Counted,,,
,332,4M8906265H,LAMBDA PROBE,PA-41,POWERTRAIN,11,2,,,,,,,,,Counted,,,
,333,4N0121056AJ,COOLANT HOSE,ED-67,ED,34,,,,,,,,,,Counted,,,
,334,4N0121305F,BRACKET,ED-55,ED,10,,,,,,,,,,Counted,,,
,335,4N0253141,CLAMPING SLEEVE,PA-60,POWERTRAIN,7,,,,,,,,,,Counted,,,
,336,4N0317801E,OIL LINE,ED-14,ED,20,,,,,,,,,,Counted,,,
,337,7P5145863,PLUG,ED-85,ED,56,,,,,,,,,,Counted,,,
,338,80A253295,TAB,PA-47,POWERTRAIN,14,,,,,,,,,,Counted,,,
,339,8E0253115C,SEAL,PA-55,POWERTRAIN,12,,,,,,,,,,Counted,,,
,340,8E0971818B,CABLE TIE BASE,PA-24,POWERTRAIN,40,6,,,,,,,,,Counted,,,"Kotak 2 ( 0) ,salah masuk count"
,341,8K0301257A,COVER,ED-9,ED,27,,,,,,,,,,Counted,,,
,342,8W0199307S,ENGINE SUPPORT,ED-38,ED,11,,,,,,,,,,Counted,,,
,343,8W0199308S,ENGINE SUPPORT,ED-40,ED,9,4,,,,,,,,,Counted,,,
,344,8W0253115G,SEAL,PA-40,POWERTRAIN,91,,,,,,,,,,Counted,,,
,345,8W0253725G,CLAMP,PA-39,POWERTRAIN,23,,,,,,,,,,Counted,,,
,346,8W0407357,SHIM,PA-43,POWERTRAIN,84,,,,,,,,,,Counted,,,
,347,8W0521142,SEAL,PA-42,POWERTRAIN,100,,,,,,,,,,Counted,,,
,348,8W0612797,MOUNTING CLIP,ED-86,ED,61,,,,,,,,,,Counted,,,
,349,N 01167026,WASHER,PA-53,POWERTRAIN,26,,,,,,,,,,Counted,,,
,350,N 01474011,SOCKET HEAD CAP BOLT,PA-73,POWERTRAIN,72,6,,,,,,,,,Counted,,,
,351,N 01508210,HEXAGON FLANGE NUT,ED-97,ED,1590,,,,,,,,,,Counted,,,
,352,N 01508210,HEXAGON FLANGE NUT,PA-87,POWERTRAIN,51,1,,,,,,,,,Counted,,,
,353,N 0195307,HEXAGON FLANGE BOL T,PA-8,POWERTRAIN,42,42,,,,,,,,,Counted,,,
,354,N 10106403,PREV.TORQUE TYPE HEX.NUT W.FLANGE,PA-75,POWERTRAIN,123,,,,,,,,,,Counted,,,
,355,N 10124309,HEXALOBULAR SOCKET PAN HEAD SCREW,ED-56,ED,144,,,,,,,,,,Counted,,,
,356,N 10196103,HEXALOBULAR SOCKET PAN HEAD SCREW,ED-17,ED,26,,,,,,,,,,Counted,,,
,357,N 10196103,HEXALOBULAR SOCKET PAN HEAD SCREW,PA-81,POWERTRAIN,325,9,,,,,,,,,Counted,,,
,358,N 10286110,PREV.TORQUE TYPE HEX.NUT W.FLANGE,PA-16,POWERTRAIN,210,31,44,,,,,,,,Counted,,,
,359,N 10314506,HEXAGON FLANGE BOLT,ED-12,ED,70,,,,,,,,,,Counted,,,
,360,N 10609201,HEXAGON FLANGE NUT,ED-34,ED,1606,,,,,,,,,,Counted,,,Data Golf eD
,361,N 10619001,TRIPLE SQUARE BOLT,ED-60,ED,65,,,,,,,,,,Counted,,,
,362,N 10623102,CABLE TIE,PA-23,POWERTRAIN,52,,,,,,,,,,Counted,,,
,363,N 10642101,HEXAGON FLANGE BOL T,PA-12,POWERTRAIN,5,,,,,,,,,,Counted,,,
,364,N 10653201,HEXAGON FLANGE BOLT,ED-96,ED,7,,,,,,,,,,Counted,,,
,365,N 10653201,HEXAGON FLANGE BOLT,PA-58,POWERTRAIN,14,24,,,,,,,,,Counted,,,
,366,N 10653601,HEXALOBULAR SOCKET HEAD CAP BOLT,ED-82,ED,16,,,,,,,,,,Counted,,,
,367,N 10672001,12-POINT SOCKET FL ANGE BOLT,PA-50,POWERTRAIN,128,,,,,,,,,,Counted,,,
,368,N 10697801,HEXAGON FLANGE BOLT,PA-6,POWERTRAIN,14,93,,,,,,,,,Counted,,,
,369,N 10702603,12-POINT SOCKET FLANGE BOLT,ED-39,ED,379,,,,,,,,,,Counted,,,
,370,N 10714501,12-POINT SOCKET FLANGE BOLT,ED-27,ED,56,,,,,,,,,,Counted,,,
,371,N 10719001,TRIPLE SQUARE BOLT,PA-44,POWERTRAIN,627,,,,,,,,,,Counted,,,
,372,N 10720402,12-POINT SOCKET FLANGE BOLT,ED-92,ED,176,,,,,,,,,,Counted,,,
,373,N 10723801,HEXALOBULAR SOCKET HEAD CAP BOLT,PA-85,POWERTRAIN,22,2,,,,,,,,,Counted,,,
,374,N 10755501,HEXAGON FLANGE BOLT,PA-79,POWERTRAIN,52,2,,,,,,,,,Counted,,,
,375,N 10784702,HEXAGON FLANGE BOLT,PA-33,POWERTRAIN,39,9,,,,,,,,,Counted,,,
,376,N 10826401,HEXALOBULAR SOCKET PAN HEAD SCREW,ED-23,ED,191,,,,,,,,,,Counted,,,
,377,N 90415405,PAN HEAD BOLT WITH WASHER,PA-20,POWERTRAIN,402,5,,,,,,,,,Counted,,,
,378,N 90441103,TRIPLE SQUARE BOLT,PA-31,POWERTRAIN,509,39,,,,,,,,,Counted,,,
,379,N 90686701,SPRING CLAMP,ED-19,ED,64,,,,,,,,,,Counted,,,
,380,N 90686901,SPRING CLAMP,ED-72,ED,341,,,,,,,,,,Counted,,,
,381,N 90686901,SPRING CLAMP,PA-91,POWERTRAIN,85,10,,,,,,,,,Counted,,,
,382,N 90687001,SPRING CLAMP,ED-68,ED,240,,,,,,,,,,Counted,,,
,383,N 90731503,FLANGE SCREW FOR TP,ED-58,ED,401,,,,,,,,,,Counted,,,
,384,N 90926501,SPRING CLAMP,ED-77,ED,125,,,,,,,,,,Counted,,,
,385,N 91032901,TRIPLE SQUARE PAN HEAD BOLT,ED-46,ED,6,,,,,,,,,,Counted,,,
,386,N 91071801,HEXAGON FLANGE BOL T,ED-32,ED,9,,,,,,,,,,Counted,,,
,387,N 91096701,HEXALOBULAR SOCKET PAN HEAD SCREW,ED-66,ED,44,,,,,,,,,,Counted,,,
,388,N 91096801,HEXALOBULAR SOCKET PAN HEAD SCREW,PA-27,POWERTRAIN,1070,,,,,,,,,,Counted,,,
,389,N 91126001,TRIPLE SQUARE BOLT,ED-29,ED,116,,,,,,,,,,Counted,,,
,390,N 91128701,TRIPLE SQUARE BOLT,ED-30,ED,392,,,,,,,,,,Counted,,,
,391,N 91129201,12-POINT FLANGE BOLT,ED-7,ED,93,,,,,,,,,,Counted,,,
,392,N 91129601,12-POINT FLANGE BOLT,ED-3,ED,42,,,,,,,,,,Counted,,,
,393,N 91129801,12-POINT FLANGE BOLT,ED-4,ED,50,,,,,,,,,,Counted,,,
,394,N 91130802,PREV.TORQUE TYPE HEX.NUT W.FLANGE,PA-56,POWERTRAIN,115,,,,,,,,,,Counted,,,
,395,N 91142201,12-POINT SOCKET FLANGE BOLT,ED-15,ED,29,,,,,,,,,,Counted,,,
,396,N 91143203,12-POINT FLANGE BOLT,ED-8,ED,397,,,,,,,,,,Counted,,,
,397,N 91150701,12-POINT FLANGE BOLT,ED-5,ED,89,,,,,,,,,,Counted,,,
,398,N 91153201,12-POINT FLANGE BOLT,ED-6,ED,47,,,,,,,,,,Counted,,,
,399,N 91157202,12-POINT SOCKET FL ANGE BOLT,ED-42,ED,7,,,,,,,,,,Counted,,,
,400,N 91157401,HEXAGON FLANGE NUT,ED-90,ED,45,,,,,,,,,,Counted,,,
,401,N 91157401,HEXAGON FLANGE NUT,PA-4,POWERTRAIN,4,25,,,,,,,,,Counted,,,
,402,N 91184301,HEXAGON FLANGE SCREW W.WASHER,PA-1,POWERTRAIN,97,120,7,,,,,,,,Counted,,,
,403,N 91203204,TRIPLE SQUARE PAN HEAD BOLT,ED-54,ED,79,,,,,,,,,,Counted,,,
,404,N 91205601,DUO HEXAGON FLANGE BOLT,PA-76,POWERTRAIN,122,,,,,,,,,,Counted,,,
,405,N 91208801,TRIPLE SQUARE PAN HEAD BOLT,ED-89,ED,27,,,,,,,,,,Counted,,,
,406,N 91228001,HEXAGON FLANGE SCREW W.WASHER,PA-9,POWERTRAIN,62,,,,,,,,,,Counted,,,
,407,N 91236401,HEXAGON FLANGE SCREW W.WASHER,PA-74,POWERTRAIN,104,,,,,,,,,,Counted,,,
,408,N 91237201,HEXAGON FLANGE SCREW W.WASHER,PA-10,POWERTRAIN,277,,,,,,,,,,Counted,,,
,409,N 91237901,HEXAGON FLANGE SCREW W.WASHER,PA-2,POWERTRAIN,4,43,,,,,,,,,Counted,,,
,410,N 91240001,12-POINT SOCKET BOLT WITH WASHER,PA-3,POWERTRAIN,180,9,,,,,,,,,Counted,,,
,411,N 91275001,12-POINT SOCKET BOLT WITH WASHER,PA-13,POWERTRAIN,8,8,,,,,,,,,Counted,,,
,412,N 91276501,TAP END STUD,ED-33,ED,107,,,,,,,,,,Counted,,,
,413,N 91301301,12-POINT SOCKET BOLT WITH WASHER,PA-11,POWERTRAIN,171,,,,,,,,,,Counted,,,
,414,WHT001987,PREV.TORQUE HEX. C LAMP NUT W.WASHER,PA-34,POWERTRAIN,143,61,,,,,,,,,Counted,,,
,415,WHT006151,HEXAGON FLANGE NUT W.WASHER,PA-18,POWERTRAIN,1,87,,,,,,,,,Counted,,,
,416,WHT006917,12-POINT FLANGE BO LT,PA-15,POWERTRAIN,31,9,,,,,,,,,Counted,,,
,417,WHT007061,12-POINT FLANGE BO LT,PA-17,POWERTRAIN,182,11,,,,,,,,,Counted,,,
,418,WHT009363A,BOLT WITH WASHER,PA-38,POWERTRAIN,40,1,,,,,,,,,Counted,,,
,419,4M0201392F,STRAP,PA-64,POWERTRAIN,6,,,,,,,,,,Counted,,,
,420,4M0201392C,STRAP,PA-65,POWERTRAIN,26,,,,,,,,,,Counted,,,
,421,4M0611707E,BRAKE HOSE,PA-71,POWERTRAIN,11,60,,,,,,,,,Counted,,,
,422,4M0816885G,REFRIGERANT LINE,PA-86,POWERTRAIN,5,1,,,,,,,,,Counted,,,
,423,4M0816886A,REFRIGERANT LINE,PA-88,POWERTRAIN,4,1,,,,,,,,,Counted,,,
,424,4M0121071C,COOLANT PIPE,PA-89,POWERTRAIN,24,1,,,,,,,,,Counted,,,
,425,4M0121085T,COOLANT PIPE,PA-94,POWERTRAIN,7,1,,,,,,,,,Counted,,,
,426,4M0121085R,COOLANT PIPE,PA-96,POWERTRAIN,13,1,,,,,,,,,Counted,,,
,427,4M0521101DN,PROPELLER SHAFT,PA-25,POWERTRAIN,17,,,,,,,,,,Counted,,,
,428,5H2863241E 4PK,CENTER CONSOLE,GCC-12,CONSOLE,8,,,,,,,,,,Counted,,,
,429,5WA199313AJ,SUBFRAME,GFA-09,FRONT AXLE,1,,,,,,,,,,Counted,,,
,430,5H0805588J,PLASTIC FRONT-END CARRIER,GFE-09,FRONTEND,4,,,,,,,,,,Counted,,,
,431,5H6867501AS6PS,MOLDED HEADLINER,GMH-12,HEADLINER,1,,,,,,,,,,Counted,,,
,432,5WA253001,"EXHAUST SYSTEM, FRONT",GPA-08,POWERTRAIN,2,,,,,,,,,,Counted,,,
,433,5WA253026,FRONT MUFFLER/REAR MUFFLER,GPA-09,POWERTRAIN,1,,,,,,,,,,Counted,,,
,434,5WA201021LC,UEL TANK,GPA-49,POWERTRAIN,1,,,,,,,,,,Counted,,,
,435,5WA400053LP,STEERING KNUCKLE,GCM-01,CM,18,,,,,,,,,,Counted,,,
,436,5WA400054LQ,STEERING KNUCKLE,GCM-02,CM,7,,,,,,,,,,Counted,,,
,437,5WA412021MF,SUSPENSION STRUT,GCM-05,CM,28,,,,,,,,,,Counted,,,
,438,02E911022H,STARTER,GED-07,ED,50,,,,,,,,,,Counted,,,
,439,06Q903028E,ALTERNATOR,GED-24,ED,3,12,,,,,,,,,Counted,,,
,440,3Q0816803D,AIR CONDITIONING COMPRESSOR,GED-25,ED,0,,,,,,,,,,Counted,,,
,441,06Q100010ET,ENGINE,GED-26,ED,5,,,,,,,,,,Counted,,,
,442,5WA145762F,CHARGE AIR PIPE,GED-62,ED,12,,,,,,,,,,Counted,,,
,443,5WA407151,TRACK CONTROL ARM,GFA-07,FRONT AXLE,25,,,,,,,,,,Counted,,,
,444,5WA407152,TRACK CONTROL ARM,GFA-08,FRONT AXLE,45,,,,,,,,,,Counted,,,
,445,5Q0411303R,STABILIZER BAR,GFA-10,FRONT AXLE,44,,,,,,,,,,Counted,,,
,446,5WC423053CN,POWER STEERING GEAR,GFA-19,FRONT AXLE,11,,,,,,,,,,Counted,,,
,447,5WA816411A,CONDENSER,GFE-01,FRONTEND,9,,,,,,,,,,Counted,,,
,448,5H0807109K,"BUMPER BAR,FRONT",GFE-05,FRONTEND,5,,,,,,,,,,Counted,,,
,449,5H0807651F,CROSSMEMBER,GFE-06,FRONTEND,34,,,,,,,,,,Counted,,,
,450,5Q0145803AD,CHARGE AIR COOLER,GFE-07,FRONTEND,20,,,,,,,,,,Counted,,,
,451,5WA121251H,RADIATOR,GFE-08,FRONTEND,13,,,,,,,,,,Counted,,,
,452,5H0807248AR,FOAM PART,GFE-43,FRONTEND,7,,,,,,,,,,Counted,,,
,453,5H2941012AA,HEADLAMP,GFE-44,FRONTEND,3,,,,,,,,,,Counted,,,
,454,5WA121203J,RADIATOR SHROUD,GFE-45,FRONTEND,16,,,,,,,,,,Counted,,,
,455,5Q0505315G,SUBFRAME,GRA-04,REAR AXLE,11,,,,,,,,,,Counted,,,
,456,5WA501051CB,FINAL DRIVE,GRA-05,REAR AXLE,6,,,,,,,,,,Counted,,,
,457,5WA501052CB,FINAL DRIVE,GRA-06,REAR AXLE,14,,,,,,,,,,Counted,,,
,458,5Q0511305BA,STABILIZER BAR,GRA-07,REAR AXLE,10,,,,,,,,,,Counted,,,
,459,5WA505311A,TRACK CONTROL ARM,GRA-20,REAR AXLE,25,,,,,,,,,,Counted,,,
,460,5WA512009AN,REAR SHOCK ABSORBER,GRA-21,REAR AXLE,30,,,,,,,,,,Counted,,,
,461,5Q0505323C,TRACK CONTROL ARM,GRA-22,REAR AXLE,129,,,,,,,,,,Counted,,,
,462,5Q0511115HM,HELICAL SPRING,GRA-38,REAR AXLE,66,,,,,,,,,,Counted,,,
,463,5WA122157AG,COOLANT HOSE,GED-61,ED,9,,,,,,,,,,Counted,,,
,464,5WA145792D,CHARGE AIR PIPE,GED-63,ED,43,,,,,,,,,,Counted,,,
,465,5Q0407272FN,HALF SHAFT,GPA-25,POWERTRAIN,2,,,,,,,,,,Counted,,,
,466,5Q0201656G,STRAP,GPA-26,POWERTRAIN,33,11,,,,,,,,,Counted,,,
,467,5Q0407271EA,HALF SHAFT,GPA-27,POWERTRAIN,2,,,,,,,,,,Counted,,,
,468,5Q0825661BS,"HEAT SHIELD,TUNNEL FRONT",GPA-46,POWERTRAIN,12,,,,,,,,,,Counted,,,
,469,5Q0825701E,"HEAT SHIELDING, REAR MUFFLER",GPA-47,POWERTRAIN,20,17,,,,,,,,,Counted,,,
,470,5Q0825729C,HEAT SHIELD,GPA-48,POWERTRAIN,26,3,,,,,,,,,Counted,,,
,471,5Q0611701C,"BRAKE HOSE,FR",GPA-53,POWERTRAIN,152,29,,,,,,,,,Counted,,,
,472,5WA713034K,SHIFT MECHANISM,GPA-60,POWERTRAIN,5,,,,,,,,,,Counted,,,
,473,5H0947145G,"LAMP,TRAY",GCC-01,CONSOLE,24,,,,,,,,,,Counted,,,
,474,5H0947145H,"LAMP,TRAY",GCC-02,CONSOLE,8,32,,,,,,,,,Counted,,,
,475,5NA035700,BUSH,GCC-03,CONSOLE,37,,,,,,,,,,Counted,,,
,476,1K0919309,OUTLET,GCC-04,CONSOLE,8,,,,,,,,,,Counted,,,
,477,2G6035718,BUSH,GCC-05,CONSOLE,113,,,,,,,,,,Counted,,,
,478,5H0947145D,"LAMP,TRAY",GCC-06,CONSOLE,158,,,,,,,,,,Counted,,,
,479,5WA962132,ANTENNA,GCC-07,CONSOLE,37,,,,,,,,,,Counted,,,
,480,7L0857784,EXPANSION RIVET,GCC-08,CONSOLE,279,,,,,,,,,,Counted,,,
,481,WHT009356,CLAMP,GCC-09,CONSOLE,138,,,,,,,,,,Counted,,,
,482,5N0867190,PLUG CLAMP,GCC-10,CONSOLE,831,,,,,,,,,,Counted,,,
,483,N 90698606,FLANGE TAPPING SCR EW,GCC-11,CONSOLE,873,,,,,,,,,,Counted,,,
,484,5H0927225 UYM,SWITCH,GCC-13,CONSOLE,71,,,,,,,,,,Counted,,,
,485,5H2863099A 041,COVER,GCC-14,CONSOLE,84,,,,,,,,,,Counted,,,
,486,5H0864207C VHE,ARM REST,GCC-15,CONSOLE,6,4,,,,,,,,,Counted,,,
,487,5H2864263C GOG,COVER,GCC-16,CONSOLE,2,5,5,5,,,,,,,Counted,,,
,488,5H2863330D 9B9,TRAY MAT,GCC-17,CONSOLE,20,,,,,,,,,,Counted,,,
,489,5H0713059S,SHIFT MECHANISM,GCC-18,CONSOLE,9,4,13,7,,,,,,,Counted,,,
,490,5H2864571A ADQ,"COVER, SHELF",GCC-19,CONSOLE,27,,,,,,,,,,Counted,,,
,491,5H2971641AH,"HARNESS,CENTER CONSOLE",GCC-20,CONSOLE,16,,,,,,,,,,Counted,,,
,492,6VA035502,ANTENNA,GCC-21,CONSOLE,53,,,,,,,,,,Counted,,,
,493,5H0864298A 4PK,TRIM,GCC-22,CONSOLE,2,10,,,,,,,,,Counted,,,
,494,5H0819203 9B9,VENT,GCC-23,CONSOLE,24,,,,,,,,,,Counted,,,
,495,5H2863487B 041,COVER,GCC-24,CONSOLE,8,10,10,10,,,,,,,Counted,,,
,496,11A907049 WHS,A/C CONTROL PANEL,GCC-25,CONSOLE,42,,,,,,,,,,Counted,,,
,497,2Q0919341 9B9,MOUNTING,GCC-26,CONSOLE,215,,,,,,,,,,Counted,,,
,498,N 10106402,PREV.TORQUE TYPE HEX.NUT W.FLANGE,GCM-03,CM,80,,,,,,,,,,Counted,,,
,499,N 90954802,TRIPLE SQUARE PAN HEAD BOLT,GCM-04,CM,67,,,,,,,,,,Counted,,,
,500,5WA971615E,CABLE GUIDE,GED-02,ED,50,,,,,,,,,,Counted,,,
,501,3Q0121093AJ,BRACKET,GED-03,ED,42,,,,,,,,,,Counted,,,
,502,0GC301472D,BREATHER PIPE,GED-04,ED,45,,,,,,,,,,Counted,,,
,503,5Q0121070BT,COOLANT PIPE,GED-05,ED,52,,,,,,,,,,Counted,,,
,504,5Q0906457K,CONTROL VALVE,GED-06,ED,27,,,,,,,,,,Counted,,,
,505,5WA971858E,BRACKET,GED-08,ED,78,,,,,,,,,,Counted,,,
,506,N 10653102,HEXAGON FLANGE BOLT,GED-09,ED,296,,,,,,,,,,Counted,,,
,507,03L260817,CENTERING SLEEVE,GED-10,ED,1023,,,,,,,,,,Counted,,,Data Q7 ED
,508,N 91191701,DOUBLE BOLT,GED-11,ED,132,,,,,,,,,,Counted,,,
,509,N 10609201,HEXAGON FLANGE NUT,GED-12,ED,152,,,,,,,,,,Counted,,,Data eD Q7
,510,N 10717701,TRIPLE SQUARE BOLT,GED-13,ED,363,,,,,,,,,,Counted,,,
,511,N 90074404,PREV.TORQUE TYPE HEXAGON NUT,GED-14,ED,730,,,,,,,,,,Counted,,,
,512,N 91200901,DUO HEXAGON FLANGE BOLT,GED-15,ED,178,,,,,,,,,,Counted,,,
,513,N 01508210,HEXAGON FLANGE NUT,GED-16,ED,1965,,,,,,,,,,Counted,,,
,514,N 91204501,HEXAGON HEAD BOLT WITH WASHER,GED-17,ED,89,,,,,,,,,,Counted,,,
,515,N 91227504,SPRING CLAMP,GED-18,ED,0,,,,,,,,,,Counted,,,
,516,N 90686901,SPRING CLAMP,GED-19,ED,0,,,,,,,,,,Counted,,,
,517,N 10665601,HEXAGON FLANGE BOLT,GED-20,ED,143,,,,,,,,,,Counted,,,
