,No,Material,PART NAME,Storage Bin,Location,TACT,Box 1,Box 2,Box 3,Box 4,Box 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,Verify By,Remark
,41,5WA614517DS,BRAKE UNIT,GT2-37,B22,02 LHS,10,,,,,,,,,,Verified,AMMAR,
,42,5WC723058A,PEDAL CLUSTER,GT2-61,B22,02 RHS,30,,,,,,,,,,Verified,AMMAR,
,43,5WC614105BL,BRAKE BOOSTER,GT2-60,B22,02 RHS,12,,,,,,,,,,Verified,AMMAR,
,44,5H0827469AFDPJ,RELEASE MECHANISM,GT4-47,B22,04 RHS,31,,,,,,,,,,Verified,AMMAR,
,45,5H0945275D,"REAR COMBINATION  LAMP, PART 1",GT4-48,B22,04 RHS,24,,,,,,,,,,Verified,AMMAR,
,46,5H0945276E,REAR COMBINATION  LAMP,GT4-49,B22,04 RHS,25,,,,,,,,,,Verified,AMMAR,
,47,5Q0971592A,BRACKET,GT6-05,B22,06 LHS,396,,,,,,,,,,Verified,AMMAR,
,48,5G2815159C,COVER,GT6-12,B22,06 LHS,60,,,,,,,,,,Verified,AMMAR,
,49,5WA199262AN,ENGINE MOUNT,GT6-03,B22,06 LHS,99,,,,,,,,,,Verified,AMMAR,
,50,5Q0501733A,SHIELD,GT8-04,B22,08 LHS,216,,,,,,,,,,Verified,AMMAR,
,51,5Q0501734A,SHIELD,GT8-05,B22,08 LHS,52,,,,,,,,,,Verified,AMMAR,
,52,5WA915331B,BATTERY TRAY,GT8-06,B22,08 LHS,78,,,,,,,,,,Verified,AMMAR,
,53,5H0854857A,CD-ENHANCING SILL COVER,GT10-06,B22,10 LHS,14,7,,,,,,,,,Verified,Efendi,
,54,5H0854858A,CD-ENHANCING SILL COVER,GT10-07,B22,10 LHS,14,7,,,,,,,,,Verified,Efendi,
,55,5H0821111,END PLATE,GT14-02,B22,14 LHS,52,,,,,,,,,,Counted,,
,56,5H0821112,END PLATE,GT14-15,B22,14 RHS,54,,,,,,,,,,Counted,,
,57,5Q0129954F,COVER,GT14-38,B22, 15 LHS,23,23,,,,,,,,,Verified,Hazizie,Box 1 cannot be edited. Total in 46 cause box 2 is 23
,58,5Q0199555AB,TRANSMISSIONMOUNT,GT1-50,B22,01LHS,20,,,,,,,,,,Verified,ANWAR,
,59,5WA614517DT,BRAKEUNIT,GT2-62,B22,02LHS,6,,,,,,,,,,Verified,ANWAR,
,60,5WC614105BK,BRAKEBOOSTER,GT2-63,B22,02RHS,12,,,,,,,,,,Verified,ARIF,
,61,5WA199262AM,ENGINEMOUNT,GT6-32,B22,06LHS,16,,,,,,,,,,Verified,ANWAR,
,62,3WA907318A,COVER,GT6-33,B22,06LHS,21,,,,,,,,,,Verified,ANWAR,
,63,5WA200059CK,FUEL LINE,GT1-14,B22,01 LHS,95,,,,,,,,,,Counted,,
,64,5H0863993C,PLENUM PANEL      DAMPING,GT1-17,B22,01 LHS,92,,,,,,,,,,Verified,Efendi,
,65,5WC863353A,BULKHEAD SOUND INSULATION,GT1-19,B22,01 LHS,12,,,,,,,,,,Verified,Efendi,
,66,5H6827705B,COVER SEAL,GT1-35,B22,01 RHS,53,,,,,,,,,,Verified,Efendi,
,67,5H6880741N,CURTAIN AIRBAG,GT2-16,B22,02 LHS,18,4,,,,,,,,,Verified,Efendi,
,68,5H4867913  9B9,WELT,GT2-17,B22,02 LHS,83,,,,,,,,,,Verified,Efendi,
,69,5H4867911  9B9,WELT,GT2-18,B22,02 LHS,122,,,,,,,,,,Verified,Efendi,
,70,5H6880742N,CURTAIN AIRBAG,GT2-47,B22,02 RHS,18,,,,,,,,,,Verified,Efendi,
,71,5H4867912  9B9,WELT,GT2-48,B22,02 RHS,135,,,,,,,,,,Verified,Efendi,
,72,5H4867914  9B9,WELT,GT2-49,B22,02 RHS,24,,,,,,,,,,Verified,Efendi,
,73,5H0863831A,ENGINE HOOD       DAMPING,GT4-10,B22,04 LHS,51,,,,,,,,,,Verified,Efendi,
,74,5Q0819805E,REAR FOOTWELL AIR DUCT,GT4-11,B22,04 LHS,6,,,,,,,,,,Verified,Efendi,
,75,5Q0819806E,REAR FOOTWELL AIR DUCT,GT4-12,B22,04 LHS,75,,,,,,,,,,Verified,NEESHAN,
,76,5H0867291  4PK,"TRIM PANEL,PILLAR B,LOWER",GT4-13,B22,04 LHS,19,24,,,,,,,,,Verified,efendi,
,77,5H0867292  4PK,"TRIM PANEL,PILLAR B,LOWER",GT4-14,B22,04 LHS,19,24,,,,,,,,,Verified,efendi,
,78,5H6807863,ATTACHMENT STRIP,GT4-34,B22,04 RHS,59,,,,,,,,,,Verified,Efendi,
,79,5H0867233Q XCC,"TRIM PANEL,PILLAR A",GT5-04,B22,05 LHS,72,,,,,,,,,,Verified,Efendi,
,80,5H0867234Q XCC,"TRIM PANEL,PILLAR A",GT5-05,B22,05 LHS,70,,,,,,,,,,Verified,Efendi,
,81,5H0867243E 4PK,"TRIM PANEL,PILLAR B",GT5-06,B22,05 LHS,78,,,,,,,,,,Verified,Efendi,
,82,5H0867244E 4PK,"TRIM PANEL,PILLAR B",GT5-07,B22,05 LHS,83,,,,,,,,,,Verified,Efendi,
,83,5G2815159C,COVER,GT6-12,B22,06 LHS,60,,,,,,,,,,Counted,,Satu kotak ada 60 ada 2 kotok
,84,5H0806239,PLENUM PANEL,GT6-13,B22,06 LHS,14,,,,,,,,,,Verified,Efendi,
,85,5Q0816741C,REFRIGERANT LINE,GT6-14,B22,06 LHS,64,,,,,,,,,,Verified,Efendi,
,86,5WC816738B,REFRIGERANT PIPE,GT6-15,B22,06 LHS,22,41,,,,,,,,,Verified,ANWAR,
,87,5WA955448,WASHER FLUID RESERVOIR,GT6-16,B22,06 LHS,2,,,,,,,,,,Verified,Efendi,
,88,5WA816743B,REFRIGERANT LINE,GT6-17,B22,06 LHS,97,,,,,,,,,,Verified,Efendi,
,89,4P0915089C,BATTERY,T5-7,B22,09 LHS,0,,,,,,,,,,Counted,,Dah verify
,90,5WA915418B,CUP,GT9-15,B22,09 LHS,10,,,,,,,,,,Verified,Hazizie,
,91,5Q0129217B,AIR DEFLECTOR,GT9-16,B22,09 LHS,9,,,,,,,,,,Verified,ASRAF,
,92,5WA121407F,EXPANSION TANK,GT9-17,B22,09 LHS,21,,,,,,,,,,Verified,ASRAF,
,93,5H0807305F,BUMPER BAR,GT9-46,B22,09 LHS,0,,,,,,,,,,Counted,,Buffer part unpack b22
,94,5H0806929B,CARRIER,GT9-51,B22,09 RHS,0,,,,,,,,,,Counted,,Direct B17
,95,5H0806930B,CARRIER,GT9-52,B22,09 RHS,0,,,,,,,,,,Counted,,Direct B17
,96,5H6827934G 0K1,REAR SPOILER,GT9-53,B22,09 RHS,5,,,,,5,,,,,Verified,ASRAF,
,97,5H6827934G A7C,REAR SPOILER,GT9-53,B22,09 RHS,7,,,,,,,,,,Verified,ASRAF,
,98,5H6827934G C3J,REAR SPOILER,GT9-53,B22,09 RHS,1,,,,,,,,,,Verified,ASRAF,
,99,5H6827934G Y9T,REAR SPOILER,GT9-53,B22,09 RHS,7,,,,,,,,,,Verified,ASRAF,
,100,5H6827934G T5H,REAR SPOILER,GT9-53,B22,09 RHS,1,,,,,,,,,,Verified,ASRAF,
,101,5H0809909  0K1,FUELFILLERDOOR,GT9-48,B22,09 RHS,26,,,,,,,,,,Verified,efendi,
,102,5H0809909  A7C,FUELFILLERDOOR,GT9-48,B22,09 RHS,12,,,,,,,,,,Counted,,
,103,5H0809909  C3J,FUELFILLERDOOR,GT9-48,B22,09 RHS,32,,,,,,,,,,Verified,efendi,
,104,5H0809909  Y9T,FUELFILLERDOOR,GT9-48,B22,09 RHS,15,,,,,,,,,,Counted,,
,105,5H0809909  T5H,FUELFILLERDOOR,GT9-48,B22,09 RHS,3,34,,,,,,,,,Verified,efendi,
,106,5H2863483A 4PK,"TRIM PANEL,PILLAR A,LWR",GT9-54,B22,09 RHS,54,,,,,,,,,,Verified,efendi,
,107,5H2863484B 4PK,"TRIM PANEL,PILLAR A,LWR",GT9-55,B22,09 RHS,45,,,,,,,,,,Verified,efendi,
,108,3Q0825235A,SHIELD,GT10-09,B22,10 LHS,44,5,,,,,,,,,Verified,NEESHAN,
,109,5H0805911J,WHEEL HOUSING     LINER,GT10-10,B22,10 LHS,26,,,,,,,,,,Verified,NEESHAN,
,110,5H0805969B,"WHEEL HOUSING     LINER,FRONT",GT10-11,B22,10 LHS,49,,,,,,,,,,Verified,NEESHAN,
,111,5H0810971D,"WHEEL HOUSING     LINER,REAR",GT10-12,B22,10 LHS,8,,,,,,,,,,Verified,NEESHAN,
,112,5H0810972D,"WHEEL HOUSING     LINER,REAR",GT10-13,B22,10 LHS,52,,,,,,,,,,Verified,NEESHAN,
,113,5H0853651AR041,RADIATOR GRILLE,GT10-14,B22,10 LHS,0,,,,,,,,,,Counted,,Hts
,114,5WA825201H,CD-ENHANCING UNDERBODY PANEL,GT10-15,B22,10 LHS,40,,,,,,,,,,Verified,NEESHAN,
,115,5H0805912M,WHEEL HOUSING     LINER,GT10-35,B22,10 RHS,27,,,,,,,,,,Verified,NEESHAN,
,116,5H0805970A,"WHEEL HOUSING     LINER,FRONT",GT10-36,B22,10 RHS,51,,,,,,,,,,Verified,NEESHAN,
,117,5WA501713,SHIELD,GT10-37,B22,10 RHS,19,,,,,,,,,,Verified,NEESHAN,
,118,5WA825202H,CD-ENHANCING UNDERBODY PANEL,GT10-38,B22,10 RHS,39,,,,,,,,,,Verified,ARIF,
,119,5WA825102A,CD-ENHANCING UNDERBODY PANEL,GT10-39,B22,10 RHS,59,,,,,,,,,,Verified,efendi,
,120,5H6863544A,"TRIM,SPARE WHEEL WELL",GT13-23,B22,13 LHS,24,,,,,,,,,,Verified,NEESHAN,
,121,5H6867765D 4PK,"TRIM,WHEEL HOUSINGREAR",GT13-24,B22,13 LHS,15,,,,,,,,,,Verified,NEESHAN,
,122,5H6867766D 4PK,"TRIM,WHEEL HOUSINGREAR",GT13-25,B22,13 LHS,15,,,,,12,,,,,Verified,AMMAR,
,123,5H6867287B 4PK,"TRIM PANEL,PILLAR C",GT13-26,B22,13 LHS,12,,,,,,,,,,Verified,AMMAR,
,124,5H6867427N CA9,LUGGAGE COMP. SIDE TRIM,GT13-49,B22,13 RHS,5,,,,,,,,,,Verified,NEESHAN,
,125,5H0419089QLNID,STEERING WHEEL,GT13-50,B22,13 RHS,20,,,,,,,,,,Verified,NEESHAN,
,126,5H6867761  4PK,"SUPPORT, SIDE",GT13-51,B22,13 RHS,21,9,,,,,,,,,Counted,,
,127,5H6867762D 4PK,"SUPPORT, SIDE",GT13-52,B22,13 RHS,8,,,,,,,,,,Counted,,
,128,5H6867288B 4PK,"TRIM PANEL,PILLAR C",GT13-53,B22,13 RHS,12,,,,,,,,,,Verified,NEESHAN,
,129,5H6867428H CA9,LUGGAGE COMP. SIDE TRIM,GT13-54,B22,13 RHS,104,,,,,,,,,,Verified,NEESHAN,
,130,5NA880201G XEA,AIRBAG UNIT,GT13-55,B22,13 RHS,1,12,,,,,,,,,Verified,HAZIZIE,
,131,5H0864254A,AIRDUCT,GT13-10,B22,13RHS,0,,,,,,,,,,Counted,,Buffer part unpack b22
,132,5NA805615,TOWING EYE,GT14-28,B22,14 RHS,12,22,,,,,,,,,Verified,Hazizie,
,133,4D0012219A,LUG WRENCH,GT14-29,B22,14 RHS,24,,,,,,,,,,Verified,NEESHAN,
,134,5Q0011221,CRANK,GT14-30,B22,14 RHS,50,,,,,,,,,,Verified,NEESHAN,
,135,5WA129601,AIR FILTER/MUFFLER UNIT,GT14-31,B22,14 RHS,26,,,,,,,,,,Verified,HAZIZIE,
