,No,Material,PART NAME,Storage Bin,Location,TACT,Box 1,Box 2,Box 3,Box 4,Box 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,Verify By,Remark
,188,4M0831721C,DOOR SEAL,T2-7,B22,02 LHS,39,,,,,,,,,,Verified,ARIF,
,189,4M0839119D,GASKET,T2-8,B22,02 LHS,22,,,,,,,,,,Verified,ARIF,
,190,4M0880741K,CURTAIN AIRBAG,T2-14,B22,02 LHS,2,,,,,,,,,,Verified,NEESHAN,
,191,4M0860022B 1P9,ROOF RAILS,T2-72,B22,02 RHS,22,,,,,,,,,,Verified,AMMAR,
,192,4M0833721C,DOOR SEAL,T2-75,B22,02 RHS,58,,,,,,,,,,Verified,ARIF,
,193,4M0839120D,GASKET,T2-76,B22,02 RHS,21,,,,,,,,,,Verified,ARIF,
,194,4M0880742K,CURTAIN AIRBAG,T2-80,B22,02 RHS,2,,,,,,,,,,Verified,AMMAR,
,195,4M8955023E,WIPER MOTOR W. LINKAGE,T4-38,B22,04 LHS,1,,,,,,,,,,Verified,AMMAR,
,196,4M0863825A,HOOD SOUND,T4-40,B22,04 LHS,23,,,,,,,,,,Verified,ARIF,
,197,4M0823126,IMPACT PROTECTION,T4-41,B22,04 LHS,11,,,,,,,,,,Verified,NEESHAN,
,198,4M0819811E,"REAR FOOTWELL AIR DUCT,PILLAR",T4-51,B22,04 LHS,44,,,,,,,,,,Verified,ARIF,
,199,4M0819725B,AIR DUCT ELEMENT,T4-53,B22,04 LHS,13,,,,,,,,,,Verified,ARIF,
,200,4M0867239F 4PK,"TRIM PANEL,PILLAR B,LOWER",T4-55,B22,04 LHS,7,,,,,,,,,,Verified,ARIF,
,201,4M0807458A,GUIDE,T4-71,B22,04 RHS,26,,,,,,,,,,Verified,ARIF,
,202,4M0819812G,"REAR FOOTWELL AIR DUCT,PILLAR",T4-79,B22,04 RHS,43,,,,,,,,,,Verified,ARIF,
,203,4M0819726B,AIR DUCT ELEMENT,T4-81,B22,04 RHS,13,,,,,,,,,,Verified,ARIF,
,204,4M0867240K 4PK,"TRIM PANEL,PILLAR B,LOWER",T4-82,B22,04 RHS,13,,,,,,,,,,Verified,ARIF,
,205,8W2035283,COMMUNICATIONSBOX,T4-83,B22,04 RHS,0,,,,,,,,,,Counted,,Direct B17
,206,4M0881677A,SEAT FRAME,T5-2,B22,05 LHS,14,,,,,,,,,,Verified,ARIF,
,207,4P0915089C,BATTERY,T5-7,B22,05 LHS,29,,,,,,,,,,Verified,ARIF,
,208,4M0867233AB2O9,"TRIM PANEL,PILLAR A",T5-13,B22,05 LHS,4,5,,,,,,,,,Verified,ARIF,
,209,4M0867287H 2O9,"TRIM PANEL,PILLAR C",T5-20,B22,05 LHS,55,,,,,,,,,,Verified,ARIF,
,210,4M0867245F 2O9,"TRIM PANEL,PILLAR D",T5-22,B22,05 LHS,7,,,,,,,,,,Verified,ARIF,
,211,4M0845297BK,SIDE WINDOW GLASS,T5-28,B22,05 LHS,22,,,,,,,,,,Verified,ARIF,
,212,4M0845298CG,SIDE WINDOW GLASS,T5-29,B22,05 LHS,8,,,,,,,,,,Verified,ARIF,
,213,4M0863560,DRIVE UNIT,T5-31,B22,05 RHS,2,,,,,,,,,,Verified,ARIF,
,214,4M0863697P,TRIM PANEL,T5-37,B22,05 RHS,10,,,,,,,,,,Verified,ARIF,
,215,4N0915105G,BATTERY,T5-41,B22,05 RHS,1,18,,,,,,,,,Verified,ARIF,
,216,4M0915524K,BRACKET,T5-42,B22,05 RHS,27,,,,,,,,,,Verified,ARIF,
,217,4M0915399L,BATTERY COVER,T5-43,B22,05 RHS,3,30,,,,,,,,,Verified,ARIF,
,218,4M0867234AB2O9,"TRIM PANEL,PILLAR A",T5-60,B22,05 RHS,4,,,,,,,,,,Verified,ARIF,
,219,4M0867244F 2O9,"TRIM PANEL,PILLAR B",T5-61,B22,05 RHS,45,,,,,,,,,,Verified,ARIF,
,220,4M0867246F 2O9,"TRIM PANEL,PILLAR D",T5-64,B22,05 RHS,4,,,,,,,,,,Verified,NEESHAN,
,221,4M2816740,REFRIGERANT LINE,T6-20,B22,06 LHS,26,,,,,,,,,,Verified,AMMAR,
,222,4M2819904B,AIR INTAKE,T6-24,B22,06 LHS,42,,,,,,,,,,Verified,ARIF,
,223,4M2819979B,DRIP RAIL,T6-28,B22,06 LHS,132,,,,,,,,,,Verified,ARIF,
,224,4M0816738M,REFRIGERANT LINE,T6-29,B22,06 LHS,14,,,,,,,,,,Verified,AMMAR,
,225,4M0955448C,WASHER FLUID RESERVOIR,T6-30,B22,06 LHS,19,,,,,,,,,,Verified,AMMAR,
,226,4M0819523A,PLENUM CHAMBER BULKHEAD,T6-39,B22,06 LHS,18,,,,,,,,,,Verified,AMMAR,
,227,4M2819350,HEATING HOSE,T6-41,B22,06 LHS,9,,,,,,,,,,Verified,ARIF,
,228,4M0806303H,STRUT,T6-51,B22,06 LHS,18,,,,,,,,,,Verified,ARIF,
,229,4M0864831AD,"TRIM, DASH PANEL",T6-53,B22,06 LHS,6,,,,,,,,,,Verified,ARIF,
,230,4M0825621K,"HEAT SHIELD, CROSS PANEL",T6-55,B22,06 LHS,84,,,,,,,,,,Verified,ARIF,
,231,4M0806391C,ADAPTER,T9-1,B22,09 LHS,10,,,,,,,,,,Verified,LUQMAN,
,232,4M0805645B,ADDITIONAL REINF.,T9-2,B22,09 LHS,1,,,,,,,,,,Verified,AMMAR,
,233,4M0863993F,PLENUM PANEL DAMPING,T9-5,B22,09 LHS,48,,,,,,,,,,Verified,AMMAR,
,234,4M0816741DB,REFRIGERANT LINE,T9-19,B22,09 LHS,25,,,,,,,,,,Verified,AMMAR,
,235,4M0821169B,COVER,T9-21,B22,09 LHS,1,90,,,,,,,,,Verified,AMMAR,
,236,4M8819401D,PLENUM PANEL COVER,T9-24,B22,09 LHS,4,,,,,,,,,,Verified,NEESHAN,
,237,4M0823723,"SEAL,WATER BOX",T9-25,B22,09 LHS,55,,,,,,,,,,Verified,NEESHAN,
,238,4M0121405AG,EXPANSION TANK,T9-27,B22,09 LHS,10,,,,,,,,,,Verified,ARIF,
,239,4M0802507G,CONNECTING PART,T9-34,B22,09 LHS,10,,,,,,,,,,Verified,LUQMAN,
